country,customer,deadline,description,number,price,url_addr
BLR,"Учреждение ""Каменецкая районная ветеринарная станция""",2019-07-18,ветеринарное оборудование,2019-722705,0,http://www.icetrade.by/tenders/all/view/722705
BLR,Слуцкий государственный колледж,2019-07-18,Закупка комплекта ученического оборудования,2019-728065,0,http://www.icetrade.by/tenders/all/view/728065
BLR,"РУП ""Медтехника""",2019-07-15,МогМТ№83/19-ЭА «Респираторы медицинские»,2019-724438,0,http://www.icetrade.by/tenders/all/view/724438
BLR,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",2019-07-15,БарМТ №421/19 Тренажеры; Вертикализаторы,2019-725640,0,http://www.icetrade.by/tenders/all/view/725640
BLR,"Управление по образованию, спорту и туризму  Столбцовского райисполкома",2019-07-17,Закупка капусты белокачанной для организации питания в учреждениях образования г. Столбцы и Столбцовского района,2019-726421,3 200,http://www.icetrade.by/tenders/all/view/726421
BLR,"ОАО ""Белшина""",2019-07-17,Лента конвейерная,2019-721638,9 400,http://www.icetrade.by/tenders/all/view/721638
BLR,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",2019-07-25,"закупка огнеупорных кирпичей,плит",2019-715687,31 385.56,http://www.icetrade.by/tenders/all/view/715687
BLR,"Учреждение здравоохранения ""Ветковская центральная районная больница""",2019-07-15,Дезинфицирующие средства,2019-727755,0,http://www.icetrade.by/tenders/all/view/727755
BLR,Департамент финансов и тыла МВД РБ,2019-07-14,"закупка систем видеонаблюдения, видеокамер и другого оборудования к ним.",2019-725749,532 600,http://www.icetrade.by/tenders/all/view/725749
BLR,Костюковичский лесхоз,2019-07-16,Кусторез Stihl FS 400 или аналог,2019-726453,0,http://www.icetrade.by/tenders/all/view/726453
BLR,Слонимское ГУП ЖКХ,2019-07-12,Клапаны трехходовые смесительные в комплекте с контроллером,2019-727015,0,http://www.icetrade.by/tenders/all/view/727015
BLR,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",2019-07-25,"МТ 207/19-ЭА «Инструменты, приспособления стоматологические, бормашины для стоматологии, чехол для датчика интраорального для УЗ ГО»",2019-727438,0,http://www.icetrade.by/tenders/all/view/727438
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2019-07-17,Закупка выпрямительного агрегата с проведением пусконаладочных работ,2019-726995,0,http://www.icetrade.by/tenders/all/view/726995
BLR,"ГЛХУ ""Витебский лесхоз""",2019-07-22,Система цифровой радиосвязи,2019-724722,50 000,http://www.icetrade.by/tenders/all/view/724722
BLR,"Государственное предприятие ""Жилищное коммунальное хозяйство Партизанского района г. Минска""",2019-07-17,Выбор подрядной организации для выполнения работ на объекте строительства: «Текущий ремонт фасада и балконов жилого дома № 10 по ул. О. Кошевого в г. Минске»,2019-722688,106 823.54,http://www.icetrade.by/tenders/all/view/722688
BLR,"ГУПП ""Берёзовское ЖКХ""",2019-07-15,Шкаф управления (ШУ) на объект: «Строительство станции обезжелезивания воды агрогородка Моревиль Березовского района»,2019-728063,0,http://www.icetrade.by/tenders/all/view/728063
BLR,"РУП ""Медтехника""",2019-07-16,МогМТ№82/19-ЭА «Рециркуляторы воздуха бактерицидные»,2019-724436,0,http://www.icetrade.by/tenders/all/view/724436
BLR,"ОАО ""Белшина""",2019-07-17,Пропорциональный клапан Parker D3FPB31YC9NB0020 или аналог,2019-725639,18 816,http://www.icetrade.by/tenders/all/view/725639
BLR,"РУП ""Завод газетной бумаги""",2019-07-18,Крахмал катионный картофельный,2019-726418,432 000,http://www.icetrade.by/tenders/all/view/726418
BLR,"ОАО ""Белшина""",2019-07-17,Рукава высокого давления,2019-721634,103 000,http://www.icetrade.by/tenders/all/view/721634
BLR,ИК № 15 управления ДИН МВД по Могилевской области,2019-07-20,"Закупка овощей позних, солений",2019-715677,126 670,http://www.icetrade.by/tenders/all/view/715677
